"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"UGuelph-CompositeCurve",0.649763311378458,109.482739034244,0.774820372624695,163.214233038348,0.394911504424779,0.654129793510325,2712
"UI_CompEpi-EpiGen",0.998419843035378,136.716610540883,0.950683450686453,160.081786030062,0.542219274977896,0.708885941644562,4524
"UM-DeepOutbreak",0.946291560231105,143.533816888662,0.93597912619772,177.496224252129,0.588076923076923,0.735961538461538,5200
"UMass-AR2",0.759547015623488,118.495562202799,0.841080747152642,162.383460293919,0.409930715935335,0.780985373364126,5196
"UMass-flusion",0.659821069471998,103.277384044789,0.740678731374887,142.941836110916,0.395752895752896,0.81969111969112,5180
"UMass-trends_ensemble",0.82289167690813,126.762307692308,0.885755563840388,168.334227071006,0.427329881656805,0.680843195266272,5408
"UNC_IDD-InfluPaint",0.743988767558159,100.548192124372,0.773829421649072,130.026877340885,0.119747899159664,0.475023342670401,4284
"UVAFluX-CESGCN",1.10383550647736,137.988957472772,0.99350252799204,158.006847272288,0.156364468864469,0.395833333333333,4368
"UVAFluX-Ensemble",0.804194883548204,120.43545375611,0.891311122826758,164.841161242604,0.541789940828402,0.768860946745562,5408
"UVAFluX-OptimWISE",0.720411267127727,14.2350598202456,0.847880076289067,21.5187614394704,0.595192307692308,0.917788461538461,2080
"VTSanghani-PRIME",0.872172675565001,126.424083738965,0.91607907360472,164.175332068311,0.578747628083491,0.760531309297913,5270
"fjordhest-ensemble",0.691072281410296,103.511137942912,0.772372070589858,143.45167309175,0.433307632999229,0.770431765612953,5188
